DATE;RRmm;Tmin;Tmax;ETP;RGI
01/01/2024;0.0;13.58;39.12;4.657049142610562;4.621806
02/01/2024;0.0;16.06;37.48;4.744343415426956;3.0624480000000003
03/01/2024;0.0;14.89;39.44;4.756799275928393;5.358726
04/01/2024;0.0;17.18;38.7;4.1640967613815505;5.088294
05/01/2024;0.0;15.25;38.35;4.544086753182625;4.397454
06/01/2024;0.0;13.87;39.86;5.414204233390976;5.5137096
07/01/2024;0.0;12.65;39.41;5.709980650249423;5.36814
08/01/2024;0.0;14.19;38.26;4.575426964523163;4.2128442
09/01/2024;0.0;15.88;39.04;4.827899717588139;5.3091792
10/01/2024;0.0;18.31;39.19;3.842497213605267;5.3784162
11/01/2024;0.101;16.24;39.38;3.535148228026861;5.256144
12/01/2024;0.0;17.32;37.11;2.92956797491305;2.9259342
13/01/2024;0.0;18.23;39.09;4.491547608891381;4.5923544000000005
14/01/2024;0.0;15.64;39.5;6.235193829140169;5.3268390000000005
15/01/2024;0.0;12.68;39.41;5.667760217113479;5.8391459999999995
16/01/2024;0.0;11.74;37.42;4.123477539333056;5.4038934
17/01/2024;0.0;15.38;40.29;4.439944635791083;4.2123654
18/01/2024;0.0;15.43;40.53;4.004054385170143;4.6442772
19/01/2024;0.0;19.01;32.09;3.2580356594898934;5.9630220000000005
20/01/2024;0.0;15.58;33.89;2.939528377529701;5.787288
21/01/2024;0.0;18.5;32.95;2.559978832092326;3.4124094
22/01/2024;0.0;18.22;38.75;5.11502022627156;3.8228688
23/01/2024;0.0;21.1;33.88;7.476673953302489;2.710404
24/01/2024;0.0;19.29;33.97;6.438222587945119;4.236102
25/01/2024;0.0;15.24;37.7;5.438271171027388;4.208697
26/01/2024;0.0;17.26;38.35;6.180416328519309;4.8138912
27/01/2024;0.0;17.74;37.1;6.811398934369476;5.0355828
28/01/2024;0.0;17.26;37.79;6.485397584704912;5.282262
29/01/2024;0.0;16.46;36.36;6.625652369189947;5.2285248
30/01/2024;0.0;14.5;36.91;6.141452523170062;4.9652154
31/01/2024;0.0;13.88;38.27;6.153706514640801;5.54598
01/02/2024;0.0;20.55;32.95;4.316580468410564;0.6249546
02/02/2024;0.0;19.73;38.25;7.0162798630993155;5.0197734
03/02/2024;0.0;19.07;38.06;7.1007248407098125;5.238882
04/02/2024;0.0;15.36;40.07;6.666874889858821;5.563458
05/02/2024;0.0;15.65;41.09;6.346254547049494;5.67405
06/02/2024;0.0;18.07;40.58;7.157167954921896;5.591196
07/02/2024;0.0;19.64;39.96;7.474816887441405;5.020488
08/02/2024;0.0;21.28;41.3;7.456281155840237;5.12784
09/02/2024;0.0;17.42;42.42;6.338973038607688;5.489784
10/02/2024;0.0;19.2;43.08;6.631379259829519;5.365584
11/02/2024;0.0;15.7;42.91;5.18574692621208;5.4507959999999995
12/02/2024;0.0;16.01;43.8;4.632915923595461;5.718924
13/02/2024;0.0;18.27;43.36;4.215528060748748;5.389668
14/02/2024;0.0;19.82;41.31;5.276399981084535;6.3451260000000005
15/02/2024;0.0;21.88;41.53;6.0998016544745415;5.033178
16/02/2024;0.0;20.54;43.63;6.239008246367854;5.495598
17/02/2024;0.0;21.79;40.6;5.860985436987719;2.8161341999999996
18/02/2024;0.0;17.32;41.82;6.27606013877974;5.750244
19/02/2024;0.0;17.57;40.72;7.495621233734905;4.276638
20/02/2024;0.0;24.35;37.24;9.207283278380187;5.0230044000000005
