DATE;RRmm;Tmin;Tmax;ETP;RGI
2022-01-01;0.0;17.6;36.97;6.873920190496625;4.263876
2022-02-01;0.0;17.12;36.51;7.13857963590962;4.7511684
2022-03-01;0.0;15.25;36.96;6.496931720691286;4.44951
2022-04-01;0.0;13.24;36.0;6.522109105952614;4.946697
2022-05-01;0.0;16.5;35.39;7.125942232189542;4.639023
2022-06-01;0.0;16.55;35.94;6.302147630326262;4.3063884
2022-07-01;0.0;16.95;36.02;6.070754042524037;5.0932548
2022-08-01;0.0;16.94;36.27;5.560072104253693;5.5674594
2022-09-01;0.0;19.41;29.3;4.032977666233649;-0.5220216
2022-10-01;0.0;20.99;28.35;3.9533801059263034;0.0729216
2022-11-01;0.0;18.05;36.95;5.27978110908569;7.204824
2022-12-01;0.0;17.87;38.33;4.390114281895741;5.1127686
2022-01-13;0.0;20.05;40.3;4.877542987229567;6.377256
2022-01-14;0.0;19.48;37.24;5.144271605416048;6.41664
2022-01-15;0.0;19.43;37.88;4.550320357076103;5.1825006
2022-01-16;0.0;19.22;35.44;4.008164941645982;4.875964199999999
2022-01-17;0.0;18.79;38.02;4.028262869230062;5.6171736
2022-01-18;0.0;17.94;38.67;5.0801288250592975;4.8316176
2022-01-19;0.0;16.29;32.9;5.271280051545504;5.5390572
2022-01-20;0.0;;;0.0;5.4112302
2022-01-21;0.0;;;0.0;5.67018
2022-01-22;0.0;;;0.0;4.9954122
2022-01-23;0.0;;;0.0;5.035374
2022-01-24;0.0;;;0.0;2.3247396
2022-01-25;0.0;;;0.0;4.2441390000000006
2022-01-26;0.0;;;0.0;4.4719578
2022-01-27;0.0;;;0.0;6.033798
2022-01-28;0.0;;;0.0;4.01859
2022-01-29;0.0;;;0.0;5.728129200000001
2022-01-30;0.0;;;0.0;5.020434
2022-01-31;0.0;;;0.0;4.4908092
2022-01-02;0.0;;;0.0;5.551803
2022-02-02;0.0;;;0.0;3.8693340000000003
2022-03-02;0.0;;;0.0;5.3558946
2022-04-02;0.0;;;0.0;5.5005714
2022-05-02;0.0;;;0.0;5.159088
2022-06-02;0.101;;;0.0;5.169024
2022-07-02;0.0;;;0.0;5.297328
2022-08-02;0.0;;;0.0;5.3334
2022-09-02;0.0;;;0.0;5.395194
2022-10-02;0.0;;;0.0;4.467582
2022-11-02;0.0;;;0.0;4.88088
2022-12-02;0.0;;;0.0;4.954104
2022-02-13;0.0;;;0.0;5.318442
2022-02-14;0.0;;;0.0;4.919382
2022-02-15;0.0;;;0.0;5.311936800000001
2022-02-16;0.0;;;0.0;5.2545779999999995
2022-02-17;0.0;;;0.0;5.2263720000000005
2022-02-18;0.0;;;0.0;4.90365
2022-02-19;0.0;;;0.0;5.7277854
2022-02-20;0.0;;;0.0;6.1080156
2022-02-21;0.0;;;0.0;4.734288
2022-02-22;0.0;;;0.0;6.3833742
2022-02-23;0.0;;;0.0;6.411888
2022-02-24;0.0;;;0.0;6.7507452
