DATE;RRmm;Tmin;Tmax;ETP;RGI
2023-01-01;0.0;20.24;37.73;7.356234068373463;5.8425588
2023-02-01;0.0;16.39;37.05;5.475998839141695;3.905523
2023-03-01;0.0;13.04;36.74;5.365207811177502;5.0479272
2023-04-01;0.0;18.91;35.52;7.1280089662883;4.170402
2023-05-01;0.0;19.24;34.28;5.9507313195522595;4.3970202
2023-06-01;0.0;15.91;34.67;5.560232638802338;4.961556
2023-07-01;0.0;17.46;30.04;4.610997860417747;0.2767968000000001
2023-08-01;0.0;21.67;32.2;4.947702108014027;1.5151464000000001
2023-09-01;0.0;21.7;29.76;5.058953099883811;-0.10906199999999996
2023-10-01;0.0;21.79;34.25;8.19758358321631;5.186754
2023-11-01;0.0;18.43;36.53;7.454520058209682;5.9442768
2023-12-01;0.0;17.64;35.58;6.566567338481316;5.4693917999999995
2023-01-13;0.0;16.38;34.42;5.914173174067524;5.4838206000000005
2023-01-14;0.0;;;0.0;5.9151798
2023-01-15;0.0;;;0.0;5.8245102
2023-01-16;0.0;;;0.0;2.666763
2023-01-17;0.0;;;0.0;6.0197436
2023-01-18;0.0;;;0.0;5.5496232
2023-01-19;0.0;;;0.0;6.017868
2023-01-20;0.0;;;0.0;6.42753
2023-01-21;0.0;;;0.0;6.726492
2023-01-22;0.0;;;0.0;7.221200400000001
2023-01-23;0.101;;;0.0;7.778736
2023-01-24;0.303;;;0.0;6.8272794
2023-01-25;0.0;;;0.0;7.8680502
2023-01-26;0.0;;;0.0;6.8117058
2023-01-27;0.0;;;0.0;6.3885834
2023-01-28;0.0;;;0.0;6.340014
2023-01-29;0.0;;;0.0;5.8972068
2023-01-30;0.0;;;0.0;6.4052891999999995
2023-01-31;0.0;;;0.0;6.533208000000001
2023-01-02;0.0;;;0.0;6.5803194000000005
2023-02-02;0.0;;;0.0;6.601554
2023-03-02;0.0;;;0.0;6.099228
2023-04-02;0.0;;;0.0;6.33438
2023-05-02;0.0;;;0.0;5.7640086
2023-06-02;0.0;;;0.0;6.1449300000000004
2023-07-02;0.0;;;0.0;4.701837600000001
2023-08-02;0.0;;;0.0;5.954832
2023-09-02;0.0;;;0.0;6.1036884
2023-10-02;0.0;;;0.0;6.921234
2023-11-02;0.0;;;0.0;7.220944800000001
2023-12-02;0.0;;;0.0;6.057986400000001
2023-02-13;0.0;;;0.0;3.6503838
2023-02-14;0.0;;;0.0;2.7743004
2023-02-15;0.0;;;0.0;2.6324874000000005
2023-02-16;0.0;;;0.0;5.9857092000000005
2023-02-17;0.0;;;0.0;6.496614000000001
2023-02-18;0.0;;;0.0;6.1979544
2023-02-19;0.0;;;0.0;6.0161940000000005
2023-02-20;0.0;;;0.0;6.2387478000000005
2023-02-21;0.0;;;0.0;6.185142000000001
2023-02-22;0.0;;;0.0;5.655895200000001
2023-02-23;0.0;;;0.0;5.721786000000001
2023-02-24;0.0;;;0.0;6.59799
2023-02-25;0.0;;;0.0;6.2087022
2023-02-26;0.0;;;0.0;6.2683164
2023-02-27;0.0;;;0.0;6.416420400000001
2023-02-28;0.0;;;0.0;6.343437600000001
2023-01-03;0.0;;;0.0;6.094746
2023-02-03;0.0;;;0.0;5.7808079999999995
2023-03-03;0.0;;;0.0;5.53428
2023-04-03;0.0;;;0.0;5.733504
2023-05-03;0.0;;;0.0;5.5515132000000005
2023-06-03;0.0;;;0.0;3.9652380000000003
2023-07-03;0.0;;;0.0;6.3020574
2023-08-03;0.0;;;0.0;5.7784968
2023-09-03;0.0;;;0.0;6.0711354
2023-10-03;0.0;;;0.0;5.535648
2023-11-03;0.0;;;0.0;5.996088
2023-12-03;0.0;;;0.0;5.776056
2023-03-13;0.0;;;0.0;5.6952072000000005
2023-03-14;0.0;;;0.0;6.195546
2023-03-15;0.0;;;0.0;7.333666200000001
2023-03-16;0.0;;;0.0;7.5194280000000004
2023-03-17;2.323;;;0.0;8.3258874
2023-03-18;0.0;;;0.0;7.936920000000001
2023-03-19;0.0;;;0.0;7.738439400000001
2023-03-20;0.0;;;0.0;7.7852412
2023-03-21;0.0;;;0.0;7.879374
2023-03-22;0.0;;;0.0;8.625222
2023-03-23;0.0;;;0.0;8.5451814
2023-03-24;0.0;;;0.0;8.633376
2023-03-25;0.0;;;0.0;8.8234848
2023-03-26;0.0;;;0.0;7.7982246
2023-03-27;0.0;;;0.0;7.5423582
2023-03-28;0.0;;;0.0;7.137072
2023-03-29;0.0;;;0.0;7.2903906
2023-03-30;0.0;;;0.0;8.0331678
2023-03-31;0.0;;;0.0;8.872164
2023-01-04;0.0;;;0.0;7.3536660000000005
2023-02-04;0.0;;;0.0;7.6896216
2023-03-04;0.0;;;0.0;8.9916534
2023-04-04;0.0;;;0.0;8.4669246
2023-05-04;0.0;;;0.0;7.816104
2023-06-04;0.0;;;0.0;7.692192
2023-07-04;0.0;;;0.0;8.246628
2023-08-04;0.0;;;0.0;7.0469100000000005
2023-09-04;0.0;;;0.0;8.3579526
