DATE;RRmm;Tmin;Tmax;ETP;RGI
2020-01-01;0.0;19.14;32.34;7.0440510402691565;4.2112134
2020-02-01;0.0;17.53;32.76;6.3290225658223855;3.8051136
2020-03-01;0.0;17.83;32.22;6.905907555352839;3.9505968
2020-04-01;0.0;19.63;31.48;7.13846723859278;4.070376
2020-05-01;0.0;15.35;30.23;6.250883763036929;3.725118
2020-06-01;0.0;14.03;30.0;6.255355859807037;3.6937026
2020-07-01;0.0;15.61;28.99;6.294992458366861;3.1548510000000003
2020-08-01;0.0;13.14;29.58;6.561257086628689;3.406842
2020-09-01;0.0;16.58;30.17;7.362179153434946;3.8957454
2020-10-01;0.0;14.83;30.41;7.11208378976172;3.516426
2020-11-01;0.0;14.49;32.78;6.527842587969554;3.7021932
2020-12-01;0.0;17.8;32.71;6.648619469864456;3.7183517999999998
2020-01-13;0.0;16.42;33.73;6.896860775621819;4.565682
2020-01-14;0.0;16.81;32.47;6.585227752094824;4.158954
2020-01-15;0.0;16.93;34.1;6.33524897205537;4.715982
2020-01-16;0.0;17.78;35.65;7.234827365193067;4.349970000000001
2020-01-17;0.0;16.7;34.74;6.7989036735096455;3.6739332000000005
2020-01-18;0.0;17.7;33.87;7.1580524411280075;4.415220000000001
2020-01-19;0.0;18.68;36.22;6.30649176194159;4.661136
2020-01-20;0.0;15.3;37.56;4.6832881215640745;2.964996
2020-01-21;0.0;14.17;36.64;3.701270337524088;2.3407812
2020-01-22;0.0;19.64;33.69;4.338852784172383;1.8607482
2020-01-23;0.0;19.5;34.57;5.226304437549254;2.4451254
2020-01-24;0.0;21.77;38.36;6.743210467018983;5.5423800000000005
2020-01-25;0.0;22.77;39.14;6.671920057420283;3.884094
2020-01-26;0.0;21.01;36.45;8.099615889971668;3.4513686000000003
2020-01-27;0.0;19.7;40.0;7.026410908632946;3.5748180000000005
2020-01-28;0.0;17.84;40.01;5.85278423981505;3.6561906
2020-01-29;0.0;16.53;39.19;5.623375339661954;3.77658
2020-01-30;0.0;19.71;38.85;8.415171635149775;4.1471100000000005
2020-01-31;0.0;20.85;39.04;8.315766283202434;3.6689040000000004
2020-01-02;0.0;19.24;41.25;6.295887843144966;3.5325720000000005
2020-02-02;0.0;15.2;39.06;4.135565686404146;3.8141658
2020-03-02;0.0;16.74;39.6;3.6485240757732442;4.4043192
2020-04-02;0.0;15.91;37.92;4.9740675694004235;3.9178836
2020-05-02;0.0;16.66;37.29;7.863918716631437;4.167306
2020-06-02;0.0;18.01;37.83;7.712805812327125;4.1363622
2020-07-02;0.0;20.04;38.0;7.8863614755306966;4.056642
2020-08-02;0.0;19.2;37.48;8.628242850677735;4.0318380000000005
2020-09-02;0.0;16.95;36.48;7.359727835866279;3.653352
2020-10-02;0.0;17.83;36.75;7.373352085741266;4.521762
2020-11-02;0.0;18.9;38.79;7.088067398855866;4.330620000000001
2020-12-02;0.0;20.03;38.09;7.046726925774685;3.836052
2020-02-13;0.0;23.63;37.98;8.132015428148602;4.527684
2020-02-14;0.0;20.6;38.95;7.764561937635435;4.3434666
2020-02-15;0.0;21.01;37.95;7.456566968019761;4.1087736
2020-02-16;0.0;23.86;38.99;7.482256981017534;3.5365589999999996
2020-02-17;0.0;23.05;38.16;6.773449144625588;1.5906420000000001
2020-02-18;0.0;25.33;39.29;10.239613467370088;4.626234
2020-02-19;0.0;21.25;40.3;7.470867626035255;5.1246396
2020-02-20;0.0;21.89;39.15;6.983696936640847;4.123386
2020-02-21;0.0;20.1;39.49;5.963993961804957;5.342418
2020-02-22;0.0;19.46;36.58;4.309315583651698;5.8562712
2020-02-23;0.0;20.05;36.19;3.9143356344841673;4.89105
2020-02-24;0.0;22.94;40.11;6.162360594437044;5.4305748000000005
2020-02-25;0.0;25.79;38.48;10.08252071140654;4.274964000000001
2020-02-26;0.0;27.21;39.98;10.003538951240156;5.1959159999999995
2020-02-27;0.0;23.68;40.34;8.530645931309166;5.293674
2020-02-28;0.0;20.22;40.46;7.480282730499158;4.7917440000000004
2020-02-29;0.0;20.71;39.42;7.844561876946609;4.71024
2020-01-03;0.0;20.91;39.11;7.99877458809803;4.6229724
2020-02-03;0.0;19.37;39.86;8.20082266807041;5.0904126
2020-03-03;0.0;21.99;40.99;8.590604179378742;4.893676200000001
2020-04-03;0.0;20.03;41.94;6.468590498966849;4.8503754
2020-05-03;0.0;18.93;41.5;5.59899012164444;4.716730800000001
2020-06-03;0.0;18.32;41.18;6.582286600572369;5.0393574
2020-07-03;0.0;16.96;41.33;5.378100384726196;5.9916599999999995
2020-08-03;0.0;15.12;42.06;5.189560714059494;6.178248
2020-09-03;0.0;18.83;37.14;6.0778142745537185;6.156252
2020-10-03;0.0;18.16;35.7;5.338243025346066;5.760234
2020-11-03;0.0;17.47;38.86;5.511412540715989;6.3415836
2020-12-03;0.0;20.73;40.56;7.9812791030541685;5.815709999999999
2020-03-13;0.0;21.48;39.99;8.356063639953373;6.017238000000001
2020-03-14;0.0;21.86;39.0;7.630245437034116;6.0336954
2020-03-15;0.0;18.99;37.05;4.866318093970791;7.114987800000001
2020-03-16;0.0;18.96;37.59;6.134328110898128;6.836526
2020-03-17;0.0;17.98;37.71;5.319722472875674;7.2197262
2020-03-18;0.0;18.43;36.47;4.478787091255734;7.2453168
2020-03-19;0.0;18.34;38.04;5.658885196333784;7.4304162
2020-03-20;0.0;18.75;40.26;6.635757327557746;7.4948328
2020-03-21;0.0;19.95;39.41;6.784758789144066;7.4645676000000005
2020-03-22;0.0;20.99;37.16;7.103928118462246;7.6126374
2020-03-23;0.0;18.58;33.35;5.832778786568497;8.0976852
2020-03-24;0.0;16.54;33.28;5.532220652617485;7.7442660000000005
2020-03-25;0.0;16.4;37.83;5.655824714842162;7.860947400000001
2020-03-26;0.0;18.05;38.83;6.065064968729575;7.938252
2020-03-27;0.0;19.12;36.05;6.30980165441083;8.435592
2020-03-28;0.0;18.79;36.14;6.560853783793346;8.065836000000001
2020-03-29;0.0;20.39;39.44;7.149857738532464;7.4721456
2020-03-30;0.0;22.41;40.87;7.507326922231977;7.796142000000001
2020-03-31;0.0;16.25;36.34;8.556626529599798;7.388694
2020-01-04;0.0;24.87;38.03;8.661400975463199;6.89139
2020-02-04;0.0;21.7;36.48;8.408102491565227;7.3123326
2020-03-04;0.0;24.34;35.94;8.556201921661104;7.40286
2020-04-04;0.0;19.76;38.54;7.214617557771155;8.321868
2020-05-04;0.0;19.21;38.19;6.229507868974608;8.215605
2020-06-04;0.0;19.4;39.63;6.52846375080357;7.770555000000001
2020-07-04;0.0;20.53;36.94;6.754066936891542;7.4246039999999995
2020-08-04;0.0;19.7;41.17;5.756594568279628;7.3232099999999996
2020-09-04;0.0;21.1;37.32;6.81052339159428;6.415452
2020-10-04;0.0;20.17;37.65;5.754932892588166;6.712974
2020-11-04;0.0;19.23;36.98;4.545820481678385;7.8952536
2020-12-04;0.0;19.75;34.82;4.532390676333641;8.201880000000001
2020-04-13;0.0;19.72;35.54;4.462626960505262;7.987500000000001
2020-04-14;0.0;20.3;37.47;5.342168565212362;5.745672
2020-04-15;0.0;18.95;38.35;6.578341694115283;8.406558
2020-04-16;0.0;20.28;39.11;6.8962875675034345;9.284832
2020-04-17;0.0;19.71;36.07;6.474736442945719;8.8743546
2020-04-18;0.0;19.86;30.84;6.007092990301218;7.373106
2020-04-19;0.0;18.28;37.26;6.016810716013586;8.9121294
2020-04-20;0.0;19.19;39.67;6.920457511635476;8.2503972
2020-04-21;0.0;21.67;41.46;8.000340855210826;7.5890718
2020-04-22;0.0;21.32;40.52;7.055526586095681;7.950978
2020-04-23;0.0;19.44;36.32;5.267044764626654;8.9729154
2020-04-24;0.0;18.23;35.57;5.460138529930815;9.0917478
2020-04-25;0.0;18.98;37.9;5.3731058895776584;7.1339562
2020-04-26;0.0;21.31;39.5;6.444360351509655;6.826572
