DATE;RRmm;Tmin;Tmax;ETP;RGI
2021-01-01;0.0;20.07;39.08;6.431580772564977;5.4081377999999996
2021-02-01;0.0;18.53;37.2;5.876220624295593;5.6743866
2021-03-01;0.0;15.99;37.26;5.195048871519623;5.612274
2021-04-01;0.0;17.23;39.17;5.682615167937689;5.5115172
2021-05-01;0.0;18.96;38.93;6.647447179430482;5.282622
2021-06-01;0.0;19.21;39.29;6.190296016461583;4.5674568
2021-07-01;0.0;16.06;41.39;5.343622328807612;5.650703999999999
2021-08-01;0.0;17.13;38.07;5.078119449265509;5.251914
2021-09-01;0.0;17.95;33.34;4.214207040229095;5.333112
2021-10-01;0.0;17.57;31.45;6.026673610040343;5.22891
2021-11-01;0.0;17.93;30.32;6.760657409998218;5.119074
2021-12-01;0.0;18.98;32.43;6.286904106872249;5.142281400000001
2021-01-13;0.0;16.88;34.74;6.231165218800358;5.012982
2021-01-14;0.0;17.62;37.22;6.542474615070176;4.7407986
2021-01-15;0.0;19.24;36.1;7.128133048773252;4.1443200000000004
2021-01-16;0.0;18.47;31.77;6.418964653943993;2.6076870000000003
2021-01-17;0.0;19.78;31.41;6.3439986677230475;2.257866
2021-01-18;0.0;17.13;30.71;5.411166285076487;1.3748795999999999
2021-01-19;0.0;16.48;35.22;6.451767076597433;5.08005
2021-01-20;0.0;16.81;36.82;6.280578426331658;4.8758886
2021-01-21;0.0;17.73;39.38;6.923037651561795;4.904224200000001
2021-01-22;0.0;17.71;35.98;6.840605639527216;2.7929502
2021-01-23;0.0;15.09;34.3;5.561166811586422;2.2388238
2021-01-24;0.0;11.89;36.56;6.6766367591771845;5.33727
2021-01-25;0.0;13.8;38.17;6.770455767116485;4.956444
2021-01-26;0.0;13.04;39.55;6.911284746249777;5.038758
2021-01-27;0.0;12.63;39.68;6.431606749435925;5.188752
2021-01-28;0.0;15.53;38.91;6.634523166493278;4.821426
2021-01-29;0.0;15.73;37.45;5.754079290654893;2.6972874000000004
2021-01-30;0.0;15.36;38.83;6.071235218618826;4.6372860000000005
2021-01-31;0.0;16.68;36.66;6.846154274788325;4.443300000000001
2021-01-02;0.0;17.69;38.73;7.178101952285282;5.88816
2021-02-02;0.0;13.57;40.13;5.732771926248191;5.452056000000001
2021-03-02;0.0;15.84;39.73;5.314573289868362;4.7427822
