DATE;RRmm;Tmin;Tmax;ETP;RGI
2018-01-01;0.0;;;0.0;0.0
2018-02-01;0.0;;;0.0;0.0
2018-03-01;0.0;;;0.0;0.0
2018-04-01;0.0;;;0.0;0.0
2018-05-01;0.0;;;0.0;0.0
2018-06-01;0.0;;;0.0;0.0
2018-07-01;0.0;;;0.0;0.0
2018-08-01;0.0;;;0.0;0.0
2018-09-01;0.0;;;0.0;0.0
2018-10-01;0.0;;;0.0;0.0
2018-11-01;0.0;;;0.0;0.0
2018-12-01;0.0;;;0.0;0.0
2018-01-13;0.0;;;0.0;0.0
2018-01-14;0.0;;;0.0;0.0
2018-01-15;0.0;;;0.0;0.0
2018-01-16;0.0;;;0.0;0.0
2018-01-17;0.0;;;0.0;0.0
2018-01-18;0.0;;;0.0;0.0
2018-01-19;0.0;;;0.0;0.0
2018-01-20;0.0;;;0.0;0.0
2018-01-21;0.0;;;0.0;0.0
2018-01-22;0.0;;;0.0;0.0
2018-01-23;0.0;;;0.0;0.0
2018-01-24;0.0;;;0.0;0.0
2018-01-25;0.0;;;0.0;0.0
2018-01-26;0.0;;;0.0;0.0
2018-01-27;0.0;;;0.0;0.0
2018-01-28;0.0;;;0.0;0.0
2018-01-29;0.0;;;0.0;0.0
2018-01-30;0.0;;;0.0;0.0
2018-01-31;0.0;;;0.0;0.0
2018-01-02;0.0;;;0.0;0.0
2018-02-02;0.0;;;0.0;0.0
2018-03-02;0.0;;;0.0;0.0
2018-04-02;0.0;;;0.0;0.0
2018-05-02;0.0;;;0.0;0.0
2018-06-02;0.0;;;0.0;0.0
2018-07-02;0.0;;;0.0;0.0
2018-08-02;0.0;;;0.0;0.0
2018-09-02;0.0;;;0.0;0.0
2018-10-02;0.0;;;0.0;0.0
2018-11-02;0.0;;;0.0;0.0
2018-12-02;0.0;;;0.0;0.0
2018-02-13;0.0;;;0.0;0.0
2018-02-14;0.0;;;0.0;0.0
2018-02-15;0.0;;;0.0;0.0
2018-02-16;0.0;;;0.0;0.0
2018-02-17;0.0;;;0.0;0.0
2018-02-18;0.0;;;0.0;0.0
2018-02-19;0.0;;;0.0;0.0
2018-02-20;0.0;;;0.0;0.0
2018-02-21;0.0;;;0.0;0.0
2018-02-22;0.0;;;0.0;0.0
2018-02-23;0.0;;;0.0;0.0
2018-02-24;0.0;;;0.0;0.0
2018-02-25;0.0;;;0.0;0.0
2018-02-26;0.0;;;0.0;0.0
2018-02-27;0.0;;;0.0;0.0
2018-02-28;0.0;;;0.0;0.0
2018-01-03;0.0;;;0.0;0.0
2018-02-03;0.0;;;0.0;0.0
2018-03-03;0.0;;;0.0;0.0
2018-04-03;0.0;;;0.0;0.0
2018-05-03;0.0;;;0.0;0.0
2018-06-03;0.0;;;0.0;0.0
2018-07-03;0.0;;;0.0;0.0
2018-08-03;0.0;;;0.0;0.0
2018-09-03;0.0;;;0.0;6.0888168
2018-10-03;0.0;;;0.0;6.8047578
2018-11-03;0.0;;;0.0;6.7429008
2018-12-03;0.0;;;0.0;6.1482402
2018-03-13;0.0;;;0.0;6.789564
2018-03-14;0.0;;;0.0;6.6367944
2018-03-15;0.0;;;0.0;6.694524
2018-03-16;0.0;;;0.0;4.792356
2018-03-17;0.0;;;0.0;7.4842326
2018-03-18;0.0;;;0.0;6.8950494
2018-03-19;0.0;;;0.0;6.6167838
2018-03-20;0.0;;;0.0;7.1672094
2018-03-21;0.0;;;0.0;7.108792200000001
2018-03-22;0.0;;;0.0;7.0599492
2018-03-23;0.0;;;0.0;5.7944556
2018-03-24;0.0;;;0.0;4.7521395
2018-03-25;0.0;;;0.0;4.13442
2018-03-26;0.0;;;0.0;5.097583800000001
2018-03-27;0.0;;;0.0;3.8130966
2018-03-28;0.0;;;0.0;6.6715164
2018-03-29;0.0;;;0.0;7.6116276
2018-03-30;0.0;;;0.0;6.082488
2018-03-31;0.0;;;0.0;8.343189
2018-01-04;0.0;;;0.0;8.71407
2018-02-04;0.0;;;0.0;9.394794000000001
2018-03-04;0.0;;;0.0;9.457488
2018-04-04;0.0;;;0.0;9.342567
2018-05-04;0.0;;;0.0;8.9046
2018-06-04;0.0;;;0.0;8.0338626
2018-07-04;0.0;;;0.0;8.1354114
2018-08-04;0.0;;;0.0;8.643204
2018-09-04;0.0;;;0.0;8.2818234
2018-10-04;0.0;;;0.0;7.710899400000001
2018-11-04;0.0;;;0.0;7.362864
2018-12-04;0.0;;;0.0;6.791004
2018-04-13;0.0;;;0.0;8.283942
2018-04-14;0.0;;;0.0;8.4704004
2018-04-15;0.0;;;0.0;8.4202128
2018-04-16;0.0;;;0.0;8.6752764
2018-04-17;0.0;;;0.0;8.7359148
2018-04-18;0.0;;;0.0;8.8819362
2018-04-19;0.0;;;0.0;9.1455444
2018-04-20;0.0;;;0.0;9.1698948
2018-04-21;0.0;;;0.0;9.0994464
2018-04-22;0.0;;;0.0;8.746498800000001
2018-04-23;0.0;;;0.0;7.6181022
2018-04-24;0.0;;;0.0;8.7088482
2018-04-25;0.0;;;0.0;7.4518866
2018-04-26;0.0;;;0.0;8.7194214
2018-04-27;0.0;;;0.0;8.666820000000001
2018-04-28;0.0;;;0.0;8.6744556
2018-04-29;0.0;;;0.0;8.4087558
2018-04-30;0.0;;;0.0;8.2073898
2018-01-05;0.0;;;0.0;8.0047674
2018-02-05;0.0;;;0.0;8.007355800000001
2018-03-05;0.0;;;0.0;7.998854400000001
2018-04-05;0.0;;;0.0;8.4756042
2018-05-05;0.0;;;0.0;9.0661266
2018-06-05;0.0;;;0.0;9.0264582
2018-07-05;0.0;;;0.0;9.006231600000001
2018-08-05;0.0;;;0.0;9.166518
2018-09-05;0.0;;;0.0;8.6199606
2018-10-05;0.0;;;0.0;8.5469364
2018-11-05;0.0;;;0.0;9.294651
2018-12-05;0.0;;;0.0;9.7263
2018-05-13;0.0;;;0.0;9.264546000000001
2018-05-14;0.0;;;0.0;9.8211564
2018-05-15;0.0;;;0.0;9.70218
2018-05-16;0.0;;;0.0;9.419868000000001
2018-05-17;0.0;;;0.0;9.599616
2018-05-18;0.0;;;0.0;9.199368
2018-05-19;0.0;;;0.0;9.632286
2018-05-20;0.0;;;0.0;9.416754000000001
2018-05-21;0.0;;;0.0;9.561744000000001
2018-05-22;0.0;;;0.0;8.98434
2018-05-23;0.0;;;0.0;8.541306
2018-05-24;0.0;;;0.0;8.0397972
2018-05-25;0.0;;;0.0;9.474336000000001
2018-05-26;0.0;;;0.0;9.291114
2018-05-27;0.0;;;0.0;9.094176000000001
2018-05-28;0.0;;;0.0;8.839692
2018-05-29;0.0;;;0.0;8.7304194
2018-05-30;0.0;;;0.0;11.313918
2018-05-31;0.0;;;0.0;8.1240246
2018-01-06;0.0;;;0.0;7.491402
2018-02-06;0.0;;;0.0;10.2156498
2018-03-06;0.0;;;0.0;10.778945400000001
2018-04-06;0.0;;;0.0;11.0232054
2018-05-06;0.0;;;0.0;9.331353
2018-06-06;0.0;;;0.0;9.7761852
2018-07-06;0.0;;;0.0;9.5694426
2018-08-06;0.0;;;0.0;8.434422
2018-09-06;0.0;;;0.0;8.973036
2018-10-06;0.0;;;0.0;9.322074
2018-11-06;0.0;;;0.0;9.27045
2018-12-06;0.0;;;0.0;8.84673
2018-06-13;0.0;;;0.0;10.5222564
2018-06-14;0.0;;;0.0;4.8298788
2018-06-15;0.0;;;0.0;8.904641400000001
2018-06-16;0.0;;;0.0;10.099152
2018-06-17;0.0;;;0.0;9.341676
2018-06-18;0.0;;;0.0;6.5486268
2018-06-19;0.0;;;0.0;7.248006
2018-06-20;0.0;;;0.0;9.2743938
2018-06-21;0.0;;;0.0;8.567586
2018-06-22;0.0;;;0.0;10.0306188
2018-06-23;0.0;;;0.0;8.8107282
2018-06-24;0.0;;;0.0;9.7731612
2018-06-25;0.0;;;0.0;9.2737908
2018-06-26;0.0;;;0.0;8.7174216
2018-06-27;45.0;;;0.0;4.4546076
2018-06-28;0.0;;;0.0;10.0761912
2018-06-29;0.0;;;0.0;12.20247
2018-06-30;0.0;;;0.0;11.052547200000001
2018-01-07;0.0;;;0.0;9.25047
2018-02-07;0.0;;;0.0;11.8994382
2018-03-07;0.0;;;0.0;7.170505200000001
2018-04-07;0.0;;;0.0;8.831268
2018-05-07;0.0;;;0.0;10.8429336
2018-06-07;0.0;;;0.0;11.1197664
2018-07-07;0.4;;;0.0;8.80785
2018-08-07;0.7999999999999999;;;0.0;10.3134564
2018-09-07;0.0;;;0.0;7.9922376
2018-10-07;0.0;;;0.0;7.0518816
2018-11-07;0.0;;;0.0;11.676024
2018-12-07;0.0;;;0.0;8.9396874
2018-07-13;0.0;;;0.0;11.2051728
2018-07-14;0.0;;;0.0;10.893798
2018-07-15;0.0;;;0.0;10.7035236
2018-07-16;0.0;;;0.0;8.925786
2018-07-17;0.0;;;0.0;10.496952
2018-07-18;0.0;;;0.0;10.9380744
2018-07-19;7.7;;;0.0;2.1193488
2018-07-20;0.0;;;0.0;7.160823
2018-07-21;0.0;;;0.0;9.7226424
2018-07-22;0.0;;;0.0;11.2745268
2018-07-23;0.0;;;0.0;8.670969
2018-07-24;1.4;;;0.0;6.7464936
2018-07-25;0.0;;;0.0;12.629556000000001
2018-07-26;0.0;;;0.0;11.02635
2018-07-27;0.0;;;0.0;11.9112984
2018-07-28;0.0;;;0.0;11.02581
2018-07-29;0.0;;;0.0;8.3040498
2018-07-30;0.0;;;0.0;9.2553606
2018-07-31;0.0;27.06;34.11;4.74302652788693;9.2479122
2018-01-08;0.2;25.91;32.94;4.113757799028238;7.565328
2018-02-08;0.0;25.36;34.16;5.243555950470954;11.616354000000001
2018-03-08;31.8;21.97;33.86;3.686291550137633;9.8042958
2018-04-08;0.2;23.08;33.08;3.6760613436413188;10.30122
2018-05-08;0.0;25.11;32.15;3.6062568329791347;9.096507
2018-06-08;0.0;24.65;33.63;4.913876574431298;11.963007000000001
2018-07-08;0.0;23.37;33.26;5.117813630338945;12.5212518
2018-08-08;0.0;24.08;34.84;5.19611276685673;11.758626
2018-09-08;0.0;24.64;33.64;4.047632443700221;10.349208
2018-10-08;60.900000000000006;22.18;33.68;2.683554659879983;5.681898
